name,website,address,Type of Church,Worship-Style,Size,Language,Auto-Assigned Type,Mismatch
Bethel Baptist Chapel Church,Unknown,Houston,Baptist,Contemporary,Mid-Sized,English,Baptist,False
Holy Rosary Church,https://www.holyrosaryparish.org/,"3617 Milam Street, Houston",Catholic,Hymnal-Based,Large,English,Needs Review,True
First United Methodist Church,http://www.fmhouston.com/,"1320 Main Street, Houston",Methodist,Hymnal-Based,Large,English,Methodist,False
Co-Cathedral of the Sacred Heart,http://www.sacredhearthouston.org/,"1111 Saint Joseph Parkway, Houston",Catholic,Hymnal-Based,Large,English,Needs Review,True
Our Lady of Guadalupe Church and Parish Office,http://www.olghouston.org/,"2405 Navigation Boulevard, Houston",Catholic,Hymnal-Based,Large,English,Needs Review,True
South Main Baptist Church,http://www.smbc.org/,"4100 Main Street, Houston",Baptist,Hymnal-Based,Large,English,Baptist,False
Holy Cross Catholic Chapel,http://www.holycrosschapel.org/,"905 Main Street, Houston",Catholic,Gregorain,Mid-Sized,English,Catholic,False
St Patrick Catholic Church,https://stpatrickhouston.com/,"4918 Cochran Street, Houston",Catholic,Hymnal-Based,Mid-Sized,English,Catholic,False
Trinity Downtown,https://www.trinitydt.org/,"800 Houston Avenue, Houston",Lutheran,Hymnal-Based,Mid-Sized ,English,Needs Review,True
Annunciation Catholic Church,http://www.annunciationcc.org/,"1618 Texas Avenue, Houston",Catholic,Hymnal-Based,Mid-Sized,English,Catholic,False
St. Mark’s United Methodist Church,https://www.smumc.org/,"600 Pecore Street, Houston",Methodist,Hymnal-Based,Mid-Sized,English,Methodist,False
Houston Vineyard,http://www.houstonvineyard.org/,"1035 East 11th Street, Houston",Non-Denominational,Contemporary,Large,Bi-lingual,Needs Review,True
Kindred,http://kindredmontrose.org/,"2515 Waugh Drive, Houston",,,,,Needs Review,True
Fifth Ward Missionary Baptist Church,http://www.fwmbc.org/,"4300 Noble Street, Houston",,,,,Baptist,True
