name,website,address,Type of Church,Worship-Style,Size,Language
Bethel Baptist Chapel Church,Unknown,Houston,Baptist,Contmeporary,Mid-Sized,English
Holy Rosary Church,https://www.holyrosaryparish.org/,"3617 Milam Street, Houston",Catholic,Hymnal-Based,Large,English
First United Methodist Church,http://www.fmhouston.com/,"1320 Main Street, Houston",Methodist,Hymnal-Based,Large,English
Co-Cathedral of the Sacred Heart,http://www.sacredhearthouston.org/,"1111 Saint Joseph Parkway, Houston",Catholic,Gregorian,Large,English
Our Lady of Guadalupe Church and Parish Office,http://www.olghouston.org/,"2405 Navigation Boulevard, Houston",Catholic,Gregorian,Large,English
South Main Baptist Church,http://www.smbc.org/,"4100 Main Street, Houston",Baptist,Hymnal-Based,Large,English
Holy Cross Catholic Chapel,http://www.holycrosschapel.org/,"905 Main Street, Houston",Catholic,Gregorain,Mid-Sized,English
St Patrick Catholic Church,https://stpatrickhouston.com/,"4918 Cochran Street, Houston",Catholic,Gregorian,Mid-Sized,English
Trinity Downtown,https://www.trinitydt.org/,"800 Houston Avenue, Houston",Lutheran,Hymnal-Based,Mid-Sized ,English
Annunciation Catholic Church,http://www.annunciationcc.org/,"1618 Texas Avenue, Houston",Catholic,Gregorian,Mid-Sized,English
St. Mark’s United Methodist Church,https://www.smumc.org/,"600 Pecore Street, Houston",Methodist,Hymnal-Based,Mid-Sized,English
Houston Vineyard,http://www.houstonvineyard.org/,"1035 East 11th Street, Houston",Non-Denominational,Contemporary,Large,Bi-lingual
Kindred,http://kindredmontrose.org/,"2515 Waugh Drive, Houston",,,,
Fifth Ward Missionary Baptist Church,http://www.fwmbc.org/,"4300 Noble Street, Houston",,,,
The Salvation Army Temple Community Care Center/Boys & Girls Club,https://www.salvationarmyhouston.org/irvington-community,"4516 Irvington Boulevard, Houston",,,,
Christ Church Cathedral,http://www.christchurchcathedral.org/,"1117 Texas Avenue, Houston",,,,
"First Lutheran, Houston",https://flhouston.org/,"1311 Holman Street Unit, Houston",,,,
Mt Carmel Missionary Baptist Church Prayer Garden,Unknown,Houston,,,,
Grace United Methodist Church,http://www.graceintheheights.org/,"1245 Heights Boulevard, Houston",,,,
Antioch Missionary Baptist Church,https://antiochdowntown.com/,"500 Clay Street, Houston",,,,
St. Joseph Catholic Church,http://www.saintjoseph.org/,"1505 Kane Street, Houston",,,,
Lord of the Streets Episcopal Church,https://www.lotshouston.org/,"3401 Fannin Street, Houston",,,,
All Saints Catholic Church,http://allsaintsheights.com/,"215 East 10th Street, Houston",,,,
Ecclesia Houston - Downtown Campus,http://ecclesiahouston.org/,"1100 Elder Street, Houston",,,,
Annunciation Greek Orthodox Cathedral,http://www.agoc.org/,"3511 Yoakum Boulevard, Houston",,,,
Church of The Holy Trinity,http://www.holytrinityrec.org/,"211 Byrne Street, Houston",,,,
Bering Memorial United Church of Christ,http://www.beringchurch.org/,"1440 Harold Street, Houston",,,,
Lyons Unity Missionary Baptist Church,http://www.lyonsunitymbc.org/,"3215 Lyons Avenue, Houston",,,,
